Threshold,Accuracy,Precision (M),Recall (M),F1-score (M),Specificity (B),MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP
0.3,0.9912087912087912,0.9770114942528736,1.0,0.9883720930232558,0.9859649122807017,0.9814779937564937,0.999938080495356,0.999896998471071,281,4,0,170
0.35,0.9912087912087912,0.9770114942528736,1.0,0.9883720930232558,0.9859649122807017,0.9814779937564937,0.999938080495356,0.999896998471071,281,4,0,170
0.4,0.9934065934065934,0.9940828402366864,0.9882352941176471,0.9911504424778761,0.9964912280701754,0.9859074695817078,0.999938080495356,0.999896998471071,284,1,2,168
0.45,0.9934065934065934,1.0,0.9823529411764705,0.9910979228486647,1.0,0.9859615094105934,0.999938080495356,0.999896998471071,285,0,3,167
0.5,0.9934065934065934,1.0,0.9823529411764705,0.9910979228486647,1.0,0.9859615094105934,0.999938080495356,0.999896998471071,285,0,3,167
0.55,0.9934065934065934,1.0,0.9823529411764705,0.9910979228486647,1.0,0.9859615094105934,0.999938080495356,0.999896998471071,285,0,3,167
0.6,0.9912087912087912,1.0,0.9764705882352941,0.9880952380952381,1.0,0.9813029218260213,0.999938080495356,0.999896998471071,285,0,4,166
