Model,Accuracy,Precision (M),Recall (M),F1-score (M),Specificity (B),MCC,ROC-AUC,PR-AUC,TN,FP,FN,TP
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,1.0,0.9441549509633318,0.9953703703703705,0.9928768608892835,72,0,3,39
SVM,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,1.0,0.9441549509633318,0.9947089947089947,0.9926841545673083,72,0,3,39
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9861111111111112,0.9245181185940877,0.996031746031746,0.994273631904294,71,1,3,39
KNN,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9861111111111112,0.9058238738943076,0.982473544973545,0.975371628312015,71,1,4,38
Naive Bayes,0.9385964912280702,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8714893406611902,0.9933862433862434,0.9889766326402534,72,0,7,35
Decision Tree,0.9035087719298246,0.918918918918919,0.8095238095238095,0.8607594936708861,0.9583333333333334,0.7910885475765683,0.9153439153439153,0.8780635043792939,69,3,8,34
